RG0697 GB1000 BR0000   h0103  R0711 G0309 B0000
RG0694 GB1000 BR0000   h0104  R0708 G0312 B0000
RG0691 GB1000 BR0000   h0105  R0705 G0315 B0000
RG0688 GB1000 BR0000   h0106  R0702 G0318 B0000
RG0685 GB1000 BR0000   h0107  R0699 G0321 B0000
RG0682 GB1000 BR0000   h0108  R0696 G0324 B0000
RG0679 GB1000 BR0000   h0109  R0693 G0327 B0000
RG0676 GB1000 BR0000   h0110  R0690 G0330 B0000
RG0673 GB1000 BR0000   h0111  R0687 G0333 B0000
RG0670 GB1000 BR0000   h0112  R0684 G0336 B0000
RG0667 GB1000 BR0000   h0113  R0681 G0339 B0000
RG0664 GB1000 BR0000   h0114  R0678 G0342 B0000
RG0661 GB1000 BR0000   h0115  R0675 G0345 B0000
RG0658 GB1000 BR0000   h0116  R0672 G0348 B0000
RG0655 GB1000 BR0000   h0117  R0669 G0351 B0000
RG0652 GB1000 BR0000   h0118  R0666 G0354 B0000
RG0650 GB1000 BR0000   h0119  R0663 G0357 B0000
RG0647 GB1000 BR0000   h0120  R0660 G0360 B0000
RG0644 GB1000 BR0000   h0121  R0657 G0363 B0000
RG0641 GB1000 BR0000   h0122  R0654 G0366 B0000
RG0638 GB1000 BR0000   h0123  R0651 G0369 B0000
RG0635 GB1000 BR0000   h0124  R0648 G0372 B0000
RG0632 GB1000 BR0000   h0125  R0645 G0375 B0000
RG0629 GB1000 BR0000   h0126  R0642 G0378 B0000
RG0626 GB1000 BR0000   h0127  R0639 G0381 B0000
RG0623 GB1000 BR0000   h0128  R0636 G0384 B0000
RG0620 GB1000 BR0000   h0129  R0633 G0387 B0000
RG0617 GB1000 BR0000   h0130  R0630 G0390 B0000
RG0614 GB1000 BR0000   h0131  R0627 G0393 B0000
RG0611 GB1000 BR0000   h0132  R0624 G0396 B0000
RG0608 GB1000 BR0000   h0133  R0621 G0399 B0000
RG0605 GB1000 BR0000   h0134  R0618 G0402 B0000
RG0602 GB1000 BR0000   h0135  R0615 G0405 B0000
RG0600 GB1000 BR0000   h0136  R0612 G0408 B0000
RG0597 GB1000 BR0000   h0137  R0609 G0411 B0000
RG0594 GB1000 BR0000   h0138  R0606 G0414 B0000
RG0591 GB1000 BR0000   h0139  R0603 G0417 B0000
RG0588 GB1000 BR0000   h0140  R0600 G0420 B0000
RG0585 GB1000 BR0000   h0141  R0597 G0423 B0000
RG0582 GB1000 BR0000   h0142  R0594 G0426 B0000
RG0579 GB1000 BR0000   h0143  R0591 G0429 B0000
RG0576 GB1000 BR0000   h0144  R0588 G0432 B0000
RG0573 GB1000 BR0000   h0145  R0585 G0435 B0000
RG0570 GB1000 BR0000   h0146  R0582 G0438 B0000
RG0567 GB1000 BR0000   h0147  R0579 G0441 B0000
RG0564 GB1000 BR0000   h0148  R0576 G0444 B0000
RG0561 GB1000 BR0000   h0149  R0573 G0447 B0000
RG0558 GB1000 BR0000   h0150  R0570 G0450 B0000
RG0555 GB1000 BR0000   h0151  R0567 G0453 B0000
RG0552 GB1000 BR0000   h0152  R0564 G0456 B0000
RG0550 GB1000 BR0000   h0153  R0561 G0459 B0000
RG0547 GB1000 BR0000   h0154  R0558 G0462 B0000
RG0544 GB1000 BR0000   h0155  R0555 G0465 B0000
RG0541 GB1000 BR0000   h0156  R0552 G0468 B0000
RG0538 GB1000 BR0000   h0157  R0549 G0471 B0000
RG0535 GB1000 BR0000   h0158  R0546 G0474 B0000
RG0532 GB1000 BR0000   h0159  R0543 G0477 B0000
RG0529 GB1000 BR0000   h0160  R0540 G0480 B0000
RG0526 GB1000 BR0000   h0161  R0537 G0483 B0000
RG0523 GB1000 BR0000   h0162  R0534 G0486 B0000
RG0520 GB1000 BR0000   h0163  R0531 G0489 B0000
RG0517 GB1000 BR0000   h0164  R0528 G0492 B0000
RG0514 GB1000 BR0000   h0165  R0525 G0495 B0000
RG0511 GB1000 BR0000   h0166  R0522 G0498 B0000
RG0508 GB1000 BR0000   h0167  R0519 G0501 B0000
RG0505 GB1000 BR0000   h0168  R0516 G0504 B0000
RG0502 GB1000 BR0000   h0169  R0513 G0507 B0000
RG0500 GB1000 BR0000   h0170  R0510 G0510 B0000
RG0497 GB1000 BR0000   h0171  R0507 G0513 B0000
RG0494 GB1000 BR0000   h0172  R0504 G0516 B0000
RG0491 GB1000 BR0000   h0173  R0501 G0519 B0000
RG0488 GB1000 BR0000   h0174  R0498 G0522 B0000
RG0485 GB1000 BR0000   h0175  R0495 G0525 B0000
RG0482 GB1000 BR0000   h0176  R0492 G0528 B0000
RG0479 GB1000 BR0000   h0177  R0489 G0531 B0000
RG0476 GB1000 BR0000   h0178  R0486 G0534 B0000
RG0473 GB1000 BR0000   h0179  R0483 G0537 B0000
RG0470 GB1000 BR0000   h0180  R0480 G0540 B0000
RG0467 GB1000 BR0000   h0181  R0477 G0543 B0000
RG0464 GB1000 BR0000   h0182  R0474 G0546 B0000
RG0461 GB1000 BR0000   h0183  R0471 G0549 B0000
RG0458 GB1000 BR0000   h0184  R0468 G0552 B0000
RG0455 GB1000 BR0000   h0185  R0465 G0555 B0000
RG0452 GB1000 BR0000   h0186  R0462 G0558 B0000
RG0450 GB1000 BR0000   h0187  R0459 G0561 B0000
RG0447 GB1000 BR0000   h0188  R0456 G0564 B0000
RG0444 GB1000 BR0000   h0189  R0453 G0567 B0000
RG0441 GB1000 BR0000   h0190  R0450 G0570 B0000
RG0438 GB1000 BR0000   h0191  R0447 G0573 B0000
RG0435 GB1000 BR0000   h0192  R0444 G0576 B0000
RG0432 GB1000 BR0000   h0193  R0441 G0579 B0000
RG0429 GB1000 BR0000   h0194  R0438 G0582 B0000
RG0426 GB1000 BR0000   h0195  R0435 G0585 B0000
RG0423 GB1000 BR0000   h0196  R0432 G0588 B0000
RG0420 GB1000 BR0000   h0197  R0429 G0591 B0000
RG0417 GB1000 BR0000   h0198  R0426 G0594 B0000
RG0414 GB1000 BR0000   h0199  R0423 G0597 B0000
RG0411 GB1000 BR0000   h0200  R0420 G0600 B0000
RG0408 GB1000 BR0000   h0201  R0417 G0603 B0000
RG0405 GB1000 BR0000   h0202  R0414 G0606 B0000
RG0402 GB1000 BR0000   h0203  R0411 G0609 B0000
RG0400 GB1000 BR0000   h0204  R0408 G0612 B0000
RG0397 GB1000 BR0000   h0205  R0405 G0615 B0000
RG0394 GB1000 BR0000   h0206  R0402 G0618 B0000
RG0391 GB1000 BR0000   h0207  R0399 G0621 B0000
RG0388 GB1000 BR0000   h0208  R0396 G0624 B0000
RG0385 GB1000 BR0000   h0209  R0393 G0627 B0000
RG0382 GB1000 BR0000   h0210  R0390 G0630 B0000
RG0379 GB1000 BR0000   h0211  R0387 G0633 B0000
RG0376 GB1000 BR0000   h0212  R0384 G0636 B0000
RG0373 GB1000 BR0000   h0213  R0381 G0639 B0000
RG0370 GB1000 BR0000   h0214  R0378 G0642 B0000
RG0367 GB1000 BR0000   h0215  R0375 G0645 B0000
RG0364 GB1000 BR0000   h0216  R0372 G0648 B0000
RG0361 GB1000 BR0000   h0217  R0369 G0651 B0000
RG0358 GB1000 BR0000   h0218  R0366 G0654 B0000
RG0355 GB1000 BR0000   h0219  R0363 G0657 B0000
RG0352 GB1000 BR0000   h0220  R0360 G0660 B0000
RG0350 GB1000 BR0000   h0221  R0357 G0663 B0000
RG0347 GB1000 BR0000   h0222  R0354 G0666 B0000
RG0344 GB1000 BR0000   h0223  R0351 G0669 B0000
RG0341 GB1000 BR0000   h0224  R0348 G0672 B0000
RG0338 GB1000 BR0000   h0225  R0345 G0675 B0000
RG0335 GB1000 BR0000   h0226  R0342 G0678 B0000
RG0332 GB1000 BR0000   h0227  R0339 G0681 B0000
RG0329 GB1000 BR0000   h0228  R0336 G0684 B0000
RG0326 GB1000 BR0000   h0229  R0333 G0687 B0000
RG0323 GB1000 BR0000   h0230  R0330 G0690 B0000
RG0320 GB1000 BR0000   h0231  R0327 G0693 B0000
RG0317 GB1000 BR0000   h0232  R0324 G0696 B0000
RG0314 GB1000 BR0000   h0233  R0321 G0699 B0000
RG0311 GB1000 BR0000   h0234  R0318 G0702 B0000
RG0308 GB1000 BR0000   h0235  R0315 G0705 B0000
RG0305 GB1000 BR0000   h0236  R0312 G0708 B0000
RG0302 GB1000 BR0000   h0237  R0309 G0711 B0000
RG0300 GB1000 BR0000   h0238  R0306 G0714 B0000
RG0297 GB1000 BR0000   h0239  R0303 G0717 B0000
RG0294 GB1000 BR0000   h0240  R0300 G0720 B0000
RG0291 GB1000 BR0000   h0241  R0297 G0723 B0000
RG0288 GB1000 BR0000   h0242  R0294 G0726 B0000
RG0285 GB1000 BR0000   h0243  R0291 G0729 B0000
RG0282 GB1000 BR0000   h0244  R0288 G0732 B0000
RG0279 GB1000 BR0000   h0245  R0285 G0735 B0000
RG0276 GB1000 BR0000   h0246  R0282 G0738 B0000
RG0273 GB1000 BR0000   h0247  R0279 G0741 B0000
RG0270 GB1000 BR0000   h0248  R0276 G0744 B0000
RG0267 GB1000 BR0000   h0249  R0273 G0747 B0000
RG0264 GB1000 BR0000   h0250  R0270 G0750 B0000
RG0261 GB1000 BR0000   h0251  R0267 G0753 B0000
RG0258 GB1000 BR0000   h0252  R0264 G0756 B0000
RG0255 GB1000 BR0000   h0253  R0261 G0759 B0000
RG0252 GB1000 BR0000   h0254  R0258 G0762 B0000
RG0250 GB1000 BR0000   h0255  R0255 G0765 B0000
RG0247 GB1000 BR0000   h0256  R0252 G0768 B0000
RG0244 GB1000 BR0000   h0257  R0249 G0771 B0000
RG0241 GB1000 BR0000   h0258  R0246 G0774 B0000
RG0238 GB1000 BR0000   h0259  R0243 G0777 B0000
RG0235 GB1000 BR0000   h0260  R0240 G0780 B0000
RG0232 GB1000 BR0000   h0261  R0237 G0783 B0000
RG0229 GB1000 BR0000   h0262  R0234 G0786 B0000
RG0226 GB1000 BR0000   h0263  R0231 G0789 B0000
RG0223 GB1000 BR0000   h0264  R0228 G0792 B0000
RG0220 GB1000 BR0000   h0265  R0225 G0795 B0000
RG0217 GB1000 BR0000   h0266  R0222 G0798 B0000
RG0214 GB1000 BR0000   h0267  R0219 G0801 B0000
RG0211 GB1000 BR0000   h0268  R0216 G0804 B0000
RG0208 GB1000 BR0000   h0269  R0213 G0807 B0000
RG0205 GB1000 BR0000   h0270  R0210 G0810 B0000
RG0202 GB1000 BR0000   h0271  R0207 G0813 B0000
RG0200 GB1000 BR0000   h0272  R0204 G0816 B0000
RG0197 GB1000 BR0000   h0273  R0201 G0819 B0000
RG0194 GB1000 BR0000   h0274  R0198 G0822 B0000
RG0191 GB1000 BR0000   h0275  R0195 G0825 B0000
RG0188 GB1000 BR0000   h0276  R0192 G0828 B0000
RG0185 GB1000 BR0000   h0277  R0189 G0831 B0000
RG0182 GB1000 BR0000   h0278  R0186 G0834 B0000
RG0179 GB1000 BR0000   h0279  R0183 G0837 B0000
RG0176 GB1000 BR0000   h0280  R0180 G0840 B0000
RG0173 GB1000 BR0000   h0281  R0177 G0843 B0000
RG0170 GB1000 BR0000   h0282  R0174 G0846 B0000
RG0167 GB1000 BR0000   h0283  R0171 G0849 B0000
RG0164 GB1000 BR0000   h0284  R0168 G0852 B0000
RG0161 GB1000 BR0000   h0285  R0165 G0855 B0000
RG0158 GB1000 BR0000   h0286  R0162 G0858 B0000
RG0155 GB1000 BR0000   h0287  R0159 G0861 B0000
RG0152 GB1000 BR0000   h0288  R0156 G0864 B0000
RG0150 GB1000 BR0000   h0289  R0153 G0867 B0000
RG0147 GB1000 BR0000   h0290  R0150 G0870 B0000
RG0144 GB1000 BR0000   h0291  R0147 G0873 B0000
RG0141 GB1000 BR0000   h0292  R0144 G0876 B0000
RG0138 GB1000 BR0000   h0293  R0141 G0879 B0000
RG0135 GB1000 BR0000   h0294  R0138 G0882 B0000
RG0132 GB1000 BR0000   h0295  R0135 G0885 B0000
RG0129 GB1000 BR0000   h0296  R0132 G0888 B0000
RG0126 GB1000 BR0000   h0297  R0129 G0891 B0000
RG0123 GB1000 BR0000   h0298  R0126 G0894 B0000
RG0120 GB1000 BR0000   h0299  R0123 G0897 B0000
RG0117 GB1000 BR0000   h0300  R0120 G0900 B0000
RG0114 GB1000 BR0000   h0301  R0117 G0903 B0000
RG0111 GB1000 BR0000   h0302  R0114 G0906 B0000
RG0108 GB1000 BR0000   h0303  R0111 G0909 B0000
RG0105 GB1000 BR0000   h0304  R0108 G0912 B0000
RG0102 GB1000 BR0000   h0305  R0105 G0915 B0000
RG0100 GB1000 BR0000   h0306  R0102 G0918 B0000
RG0097 GB1000 BR0000   h0307  R0099 G0921 B0000
RG0094 GB1000 BR0000   h0308  R0096 G0924 B0000
RG0091 GB1000 BR0000   h0309  R0093 G0927 B0000
RG0088 GB1000 BR0000   h0310  R0090 G0930 B0000
RG0085 GB1000 BR0000   h0311  R0087 G0933 B0000
RG0082 GB1000 BR0000   h0312  R0084 G0936 B0000
RG0079 GB1000 BR0000   h0313  R0081 G0939 B0000
RG0076 GB1000 BR0000   h0314  R0078 G0942 B0000
RG0073 GB1000 BR0000   h0315  R0075 G0945 B0000
RG0070 GB1000 BR0000   h0316  R0072 G0948 B0000
RG0067 GB1000 BR0000   h0317  R0069 G0951 B0000
RG0064 GB1000 BR0000   h0318  R0066 G0954 B0000
RG0061 GB1000 BR0000   h0319  R0063 G0957 B0000
RG0058 GB1000 BR0000   h0320  R0060 G0960 B0000
RG0055 GB1000 BR0000   h0321  R0057 G0963 B0000
RG0052 GB1000 BR0000   h0322  R0054 G0966 B0000
RG0050 GB1000 BR0000   h0323  R0051 G0969 B0000
RG0047 GB1000 BR0000   h0324  R0048 G0972 B0000
RG0044 GB1000 BR0000   h0325  R0045 G0975 B0000
RG0041 GB1000 BR0000   h0326  R0042 G0978 B0000
RG0038 GB1000 BR0000   h0327  R0039 G0981 B0000
RG0035 GB1000 BR0000   h0328  R0036 G0984 B0000
RG0032 GB1000 BR0000   h0329  R0033 G0987 B0000
RG0029 GB1000 BR0000   h0330  R0030 G0990 B0000
RG0026 GB1000 BR0000   h0331  R0027 G0993 B0000
RG0023 GB1000 BR0000   h0332  R0024 G0996 B0000
RG0020 GB1000 BR0000   h0333  R0021 G0999 B0000
RG0017 GB1000 BR0000   h0334  R0018 G1002 B0000
RG0014 GB1000 BR0000   h0335  R0015 G1005 B0000
RG0011 GB1000 BR0000   h0336  R0012 G1008 B0000
RG0008 GB1000 BR0000   h0337  R0009 G1011 B0000
RG0005 GB1000 BR0000   h0338  R0006 G1014 B0000
RG0002 GB1000 BR0000   h0339  R0003 G1017 B0000
RG0000 GB1000 BR6***   h0340  R0000 G1020 B0000
RG0000 GB1000 BR6***   h0341  R0000 G1020 B0000
RG0000 GB0997 BR1000   h0342  R0000 G1017 B0003
RG0000 GB0994 BR1000   h0343  R0000 G1014 B0006
RG0000 GB0991 BR1000   h0344  R0000 G1011 B0009
RG0000 GB0988 BR1000   h0345  R0000 G1008 B0012
RG0000 GB0985 BR1000   h0346  R0000 G1005 B0015
RG0000 GB0982 BR1000   h0347  R0000 G1002 B0018
RG0000 GB0979 BR1000   h0348  R0000 G0999 B0021
RG0000 GB0976 BR1000   h0349  R0000 G0996 B0024
RG0000 GB0973 BR1000   h0350  R0000 G0993 B0027
RG0000 GB0970 BR1000   h0351  R0000 G0990 B0030
RG0000 GB0967 BR1000   h0352  R0000 G0987 B0033
RG0000 GB0964 BR1000   h0353  R0000 G0984 B0036
RG0000 GB0961 BR1000   h0354  R0000 G0981 B0039
RG0000 GB0958 BR1000   h0355  R0000 G0978 B0042
RG0000 GB0955 BR1000   h0356  R0000 G0975 B0045
RG0000 GB0952 BR1000   h0357  R0000 G0972 B0048
RG0000 GB0950 BR1000   h0358  R0000 G0969 B0051
