RG1000 GB6*** BR0000   h0000  R1023 G0000 B0000
RG0999 GB1000 BR0000   h0001  R1023 G0001 B0000
RG0998 GB1000 BR0000   h0002  R1023 G0002 B0000
RG0997 GB1000 BR0000   h0003  R1023 G0003 B0000
RG0996 GB1000 BR0000   h0004  R1023 G0004 B0000
RG0995 GB1000 BR0000   h0005  R1023 G0005 B0000
RG0994 GB1000 BR0000   h0006  R1023 G0006 B0000
RG0993 GB1000 BR0000   h0007  R1023 G0007 B0000
RG0992 GB1000 BR0000   h0008  R1023 G0008 B0000
RG0991 GB1000 BR0000   h0009  R1023 G0009 B0000
RG0990 GB1000 BR0000   h0010  R1023 G0010 B0000
RG0989 GB1000 BR0000   h0011  R1023 G0011 B0000
RG0988 GB1000 BR0000   h0012  R1023 G0012 B0000
RG0987 GB1000 BR0000   h0013  R1023 G0013 B0000
RG0986 GB1000 BR0000   h0014  R1023 G0014 B0000
RG0985 GB1000 BR0000   h0015  R1023 G0015 B0000
RG0984 GB1000 BR0000   h0016  R1023 G0016 B0000
RG0983 GB1000 BR0000   h0017  R1023 G0017 B0000
RG0982 GB1000 BR0000   h0018  R1023 G0018 B0000
RG0981 GB1000 BR0000   h0019  R1023 G0019 B0000
RG0980 GB1000 BR0000   h0020  R1023 G0020 B0000
RG0979 GB1000 BR0000   h0021  R1023 G0021 B0000
RG0978 GB1000 BR0000   h0022  R1023 G0022 B0000
RG0978 GB1000 BR0000   h0023  R1023 G0023 B0000
RG0977 GB1000 BR0000   h0024  R1023 G0024 B0000
RG0976 GB1000 BR0000   h0025  R1023 G0025 B0000
RG0975 GB1000 BR0000   h0026  R1023 G0026 B0000
RG0974 GB1000 BR0000   h0027  R1023 G0027 B0000
RG0973 GB1000 BR0000   h0028  R1023 G0028 B0000
RG0972 GB1000 BR0000   h0029  R1023 G0029 B0000
RG0971 GB1000 BR0000   h0030  R1023 G0030 B0000
RG0970 GB1000 BR0000   h0031  R1023 G0031 B0000
RG0969 GB1000 BR0000   h0032  R1023 G0032 B0000
RG0968 GB1000 BR0000   h0033  R1023 G0033 B0000
RG0967 GB1000 BR0000   h0034  R1023 G0034 B0000
RG0966 GB1000 BR0000   h0035  R1023 G0035 B0000
RG0966 GB1000 BR0000   h0036  R1023 G0036 B0000
RG0965 GB1000 BR0000   h0037  R1023 G0037 B0000
RG0964 GB1000 BR0000   h0038  R1023 G0038 B0000
RG0963 GB1000 BR0000   h0039  R1023 G0039 B0000
RG0962 GB1000 BR0000   h0040  R1023 G0040 B0000
RG0961 GB1000 BR0000   h0041  R1023 G0041 B0000
RG0960 GB1000 BR0000   h0042  R1023 G0042 B0000
RG0959 GB1000 BR0000   h0043  R1023 G0043 B0000
RG0958 GB1000 BR0000   h0044  R1023 G0044 B0000
RG0957 GB1000 BR0000   h0045  R1023 G0045 B0000
RG0956 GB1000 BR0000   h0046  R1023 G0046 B0000
RG0956 GB1000 BR0000   h0047  R1023 G0047 B0000
RG0955 GB1000 BR0000   h0048  R1023 G0048 B0000
RG0954 GB1000 BR0000   h0049  R1023 G0049 B0000
RG0953 GB1000 BR0000   h0050  R1023 G0050 B0000
RG0952 GB1000 BR0000   h0051  R1023 G0051 B0000
RG0951 GB1000 BR0000   h0052  R1023 G0052 B0000
RG0950 GB1000 BR0000   h0053  R1023 G0053 B0000
RG0949 GB1000 BR0000   h0054  R1023 G0054 B0000
RG0948 GB1000 BR0000   h0055  R1023 G0055 B0000
RG0948 GB1000 BR0000   h0056  R1023 G0056 B0000
RG0947 GB1000 BR0000   h0057  R1023 G0057 B0000
RG0946 GB1000 BR0000   h0058  R1023 G0058 B0000
RG0945 GB1000 BR0000   h0059  R1023 G0059 B0000
RG0944 GB1000 BR0000   h0060  R1023 G0060 B0000
RG0943 GB1000 BR0000   h0061  R1023 G0061 B0000
RG0942 GB1000 BR0000   h0062  R1023 G0062 B0000
RG0941 GB1000 BR0000   h0063  R1023 G0063 B0000
RG0941 GB1000 BR0000   h0064  R1023 G0064 B0000
RG0940 GB1000 BR0000   h0065  R1023 G0065 B0000
RG0939 GB1000 BR0000   h0066  R1023 G0066 B0000
RG0938 GB1000 BR0000   h0067  R1023 G0067 B0000
RG0937 GB1000 BR0000   h0068  R1023 G0068 B0000
RG0936 GB1000 BR0000   h0069  R1023 G0069 B0000
RG0935 GB1000 BR0000   h0070  R1023 G0070 B0000
RG0935 GB1000 BR0000   h0071  R1023 G0071 B0000
RG0934 GB1000 BR0000   h0072  R1023 G0072 B0000
RG0933 GB1000 BR0000   h0073  R1023 G0073 B0000
RG0932 GB1000 BR0000   h0074  R1023 G0074 B0000
RG0931 GB1000 BR0000   h0075  R1023 G0075 B0000
RG0930 GB1000 BR0000   h0076  R1023 G0076 B0000
RG0930 GB1000 BR0000   h0077  R1023 G0077 B0000
RG0929 GB1000 BR0000   h0078  R1023 G0078 B0000
RG0928 GB1000 BR0000   h0079  R1023 G0079 B0000
RG0927 GB1000 BR0000   h0080  R1023 G0080 B0000
RG0926 GB1000 BR0000   h0081  R1023 G0081 B0000
RG0925 GB1000 BR0000   h0082  R1023 G0082 B0000
RG0924 GB1000 BR0000   h0083  R1023 G0083 B0000
RG0924 GB1000 BR0000   h0084  R1023 G0084 B0000
RG0923 GB1000 BR0000   h0085  R1023 G0085 B0000
RG0922 GB1000 BR0000   h0086  R1023 G0086 B0000
RG0921 GB1000 BR0000   h0087  R1023 G0087 B0000
RG0920 GB1000 BR0000   h0088  R1023 G0088 B0000
RG0919 GB1000 BR0000   h0089  R1023 G0089 B0000
RG0919 GB1000 BR0000   h0090  R1023 G0090 B0000
RG0918 GB1000 BR0000   h0091  R1023 G0091 B0000
RG0917 GB1000 BR0000   h0092  R1023 G0092 B0000
RG0916 GB1000 BR0000   h0093  R1023 G0093 B0000
RG0915 GB1000 BR0000   h0094  R1023 G0094 B0000
RG0915 GB1000 BR0000   h0095  R1023 G0095 B0000
RG0914 GB1000 BR0000   h0096  R1023 G0096 B0000
RG0913 GB1000 BR0000   h0097  R1023 G0097 B0000
RG0912 GB1000 BR0000   h0098  R1023 G0098 B0000
RG0911 GB1000 BR0000   h0099  R1023 G0099 B0000
RG0910 GB1000 BR0000   h0100  R1023 G0100 B0000
RG0910 GB1000 BR0000   h0101  R1023 G0101 B0000
RG0909 GB1000 BR0000   h0102  R1023 G0102 B0000
RG0908 GB1000 BR0000   h0103  R1023 G0103 B0000
RG0907 GB1000 BR0000   h0104  R1023 G0104 B0000
RG0906 GB1000 BR0000   h0105  R1023 G0105 B0000
RG0906 GB1000 BR0000   h0106  R1023 G0106 B0000
RG0905 GB1000 BR0000   h0107  R1023 G0107 B0000
RG0904 GB1000 BR0000   h0108  R1023 G0108 B0000
RG0903 GB1000 BR0000   h0109  R1023 G0109 B0000
RG0902 GB1000 BR0000   h0110  R1023 G0110 B0000
RG0902 GB1000 BR0000   h0111  R1023 G0111 B0000
RG0901 GB1000 BR0000   h0112  R1023 G0112 B0000
RG0900 GB1000 BR0000   h0113  R1023 G0113 B0000
RG0899 GB1000 BR0000   h0114  R1023 G0114 B0000
RG0898 GB1000 BR0000   h0115  R1023 G0115 B0000
RG0898 GB1000 BR0000   h0116  R1023 G0116 B0000
RG0897 GB1000 BR0000   h0117  R1023 G0117 B0000
RG0896 GB1000 BR0000   h0118  R1023 G0118 B0000
RG0895 GB1000 BR0000   h0119  R1023 G0119 B0000
RG0895 GB1000 BR0000   h0120  R1023 G0120 B0000
RG0894 GB1000 BR0000   h0121  R1023 G0121 B0000
RG0893 GB1000 BR0000   h0122  R1023 G0122 B0000
RG0892 GB1000 BR0000   h0123  R1023 G0123 B0000
RG0891 GB1000 BR0000   h0124  R1023 G0124 B0000
RG0891 GB1000 BR0000   h0125  R1023 G0125 B0000
RG0890 GB1000 BR0000   h0126  R1023 G0126 B0000
RG0889 GB1000 BR0000   h0127  R1023 G0127 B0000
