RG1000 GB6*** BR0000   h0000  R255 G000 B000
RG0000 GB0811 BR1000   h0114  R000 G207 B048
RG0000 GB0800 BR1000   h0115  R000 G204 B051
RG0000 GB0792 BR1000   h0116  R000 G202 B053
RG0000 GB0780 BR1000   h0117  R000 G199 B056
RG0000 GB0768 BR1000   h0118  R000 G196 B059
RG0000 GB0760 BR1000   h0119  R000 G194 B061
RG0000 GB0749 BR1000   h0120  R000 G191 B064
RG0000 GB0737 BR1000   h0121  R000 G188 B067
RG0000 GB0729 BR1000   h0122  R000 G186 B069
RG0000 GB0717 BR1000   h0123  R000 G183 B072
RG0000 GB0705 BR1000   h0124  R000 G180 B075
RG0000 GB0698 BR1000   h0125  R000 G178 B077
RG0000 GB0686 BR1000   h0126  R000 G175 B080
RG0000 GB0674 BR1000   h0127  R000 G172 B083
RG0000 GB0667 BR1000   h0128  R000 G171 B085
RG0000 GB0648 BR1000   h0129  R000 G166 B090
RG0000 GB0628 BR1000   h0130  R000 G161 B095
RG0000 GB0605 BR1000   h0131  R000 G155 B101
RG0000 GB0585 BR1000   h0132  R000 G150 B106
RG0000 GB0566 BR1000   h0133  R000 G145 B111
RG0000 GB0542 BR1000   h0134  R000 G139 B117
RG0000 GB0523 BR1000   h0135  R000 G134 B122
RG0000 GB0503 BR1000   h0136  R000 G129 B127
RG0000 GB0480 BR1000   h0137  R000 G123 B133
RG0000 GB0460 BR1000   h0138  R000 G118 B138
RG0000 GB0441 BR1000   h0139  R000 G113 B143
RG0000 GB0417 BR1000   h0140  R000 G107 B149
RG0000 GB0398 BR1000   h0141  R000 G102 B154
RG0000 GB0378 BR1000   h0142  R000 G097 B159
RG0000 GB0355 BR1000   h0143  R000 G091 B165
RG0000 GB0335 BR1000   h0144  R000 G086 B170
RG0000 GB0316 BR1000   h0145  R000 G081 B175
RG0000 GB0292 BR1000   h0146  R000 G075 B181
RG0000 GB0273 BR1000   h0147  R000 G070 B186
RG0000 GB0253 BR1000   h0148  R000 G065 B191
RG0000 GB0230 BR1000   h0149  R000 G059 B197
RG0000 GB0210 BR1000   h0150  R000 G054 B202
RG0000 GB0191 BR1000   h0151  R000 G049 B207
RG0000 GB0167 BR1000   h0152  R000 G043 B213
RG0000 GB0148 BR1000   h0153  R000 G038 B218
RG0000 GB0128 BR1000   h0154  R000 G033 B223
RG0000 GB0105 BR1000   h0155  R000 G027 B229
RG0000 GB0085 BR1000   h0156  R000 G022 B234
RG0000 GB0066 BR1000   h0157  R000 G017 B239
RG0000 GB0042 BR1000   h0158  R000 G011 B245
RG0000 GB0023 BR1000   h0159  R000 G006 B250
RG6*** GB0000 BR1000   h0160  R000 G000 B255
RG1000 GB0000 BR0992   h0161  R002 G000 B253
RG1000 GB0000 BR0980   h0162  R005 G000 B250
RG1000 GB0000 BR0968   h0163  R008 G000 B247
RG1000 GB0000 BR0960   h0164  R010 G000 B245
RG1000 GB0000 BR0949   h0165  R013 G000 B242
RG1000 GB0000 BR0937   h0166  R016 G000 B239
RG1000 GB0000 BR0929   h0167  R018 G000 B237
RG1000 GB0000 BR0917   h0168  R021 G000 B234
RG1000 GB0000 BR0905   h0169  R024 G000 B231
RG1000 GB0000 BR0898   h0170  R026 G000 B229
RG1000 GB0000 BR0886   h0171  R029 G000 B226
RG1000 GB0000 BR0874   h0172  R032 G000 B223
RG1000 GB0000 BR0866   h0173  R034 G000 B221
RG1000 GB0000 BR0854   h0174  R037 G000 B218
RG1000 GB0000 BR0843   h0175  R040 G000 B215
RG1000 GB0000 BR0831   h0176  R043 G000 B212
RG1000 GB0000 BR0823   h0177  R045 G000 B210
RG1000 GB0000 BR0811   h0178  R048 G000 B207
RG1000 GB0000 BR0800   h0179  R051 G000 B204
RG1000 GB0000 BR0792   h0180  R053 G000 B202
RG1000 GB0000 BR0780   h0181  R056 G000 B199
RG1000 GB0000 BR0768   h0182  R059 G000 B196
RG1000 GB0000 BR0760   h0183  R061 G000 B194
RG1000 GB0000 BR0749   h0184  R064 G000 B191
RG1000 GB0000 BR0737   h0185  R067 G000 B188
RG1000 GB0000 BR0729   h0186  R069 G000 B186
RG1000 GB0000 BR0717   h0187  R072 G000 B183
RG1000 GB0000 BR0705   h0188  R075 G000 B180
RG1000 GB0000 BR0698   h0189  R077 G000 B178
RG1000 GB0000 BR0686   h0190  R080 G000 B175
RG1000 GB0000 BR0674   h0191  R083 G000 B172
RG1000 GB0000 BR0667   h0192  R085 G000 B171
RG1000 GB0000 BR0660   h0193  R087 G000 B169
RG1000 GB0000 BR0648   h0194  R090 G000 B166
RG1000 GB0000 BR0636   h0195  R093 G000 B163
RG1000 GB0000 BR0628   h0196  R095 G000 B161
RG1000 GB0000 BR0617   h0197  R098 G000 B158
RG1000 GB0000 BR0605   h0198  R101 G000 B155
RG1000 GB0000 BR0597   h0199  R103 G000 B153
RG1000 GB0000 BR0585   h0200  R106 G000 B150
RG1000 GB0000 BR0574   h0201  R109 G000 B147
RG1000 GB0000 BR0566   h0202  R111 G000 B145
RG1000 GB0000 BR0554   h0203  R114 G000 B142
RG1000 GB0000 BR0542   h0204  R117 G000 B139
RG1000 GB0000 BR0535   h0205  R119 G000 B137
RG1000 GB0000 BR0523   h0206  R122 G000 B134
RG1000 GB0000 BR0511   h0207  R125 G000 B131
RG1000 GB0000 BR0500   h0208  R128 G000 B128
RG1000 GB0000 BR0492   h0209  R130 G000 B126
RG1000 GB0000 BR0480   h0210  R133 G000 B123
RG1000 GB0000 BR0468   h0211  R136 G000 B120
RG1000 GB0000 BR0460   h0212  R138 G000 B118
RG1000 GB0000 BR0449   h0213  R141 G000 B115
RG1000 GB0000 BR0437   h0214  R144 G000 B112
RG1000 GB0000 BR0429   h0215  R146 G000 B110
RG1000 GB0000 BR0417   h0216  R149 G000 B107
RG1000 GB0000 BR0406   h0217  R152 G000 B104
RG1000 GB0000 BR0398   h0218  R154 G000 B102
RG1000 GB0000 BR0386   h0219  R157 G000 B099
RG1000 GB0000 BR0375   h0220  R160 G000 B096
RG1000 GB0000 BR0367   h0221  R162 G000 B094
RG1000 GB0000 BR0355   h0222  R165 G000 B091
RG1000 GB0000 BR0343   h0223  R168 G000 B088
RG1000 GB0000 BR0333   h0224  R170 G000 B085
RG1000 GB0000 BR0325   h0225  R172 G000 B083
RG1000 GB0000 BR0313   h0226  R175 G000 B080
RG1000 GB0000 BR0301   h0227  R178 G000 B077
RG1000 GB0000 BR0294   h0228  R180 G000 B075
RG1000 GB0000 BR0282   h0229  R183 G000 B072
RG1000 GB0000 BR0270   h0230  R186 G000 B069
RG1000 GB0000 BR0262   h0231  R188 G000 B067
RG1000 GB0000 BR0250   h0232  R191 G000 B064
RG1000 GB0000 BR0239   h0233  R194 G000 B061
RG1000 GB0000 BR0231   h0234  R196 G000 B059
RG1000 GB0000 BR0219   h0235  R199 G000 B056
RG1000 GB0000 BR0207   h0236  R202 G000 B053
RG1000 GB0000 BR0200   h0237  R204 G000 B051
RG1000 GB0000 BR0188   h0238  R207 G000 B048
RG1000 GB0000 BR0176   h0239  R210 G000 B045
RG1000 GB0000 BR0164   h0240  R213 G000 B042
RG1000 GB0000 BR0156   h0241  R215 G000 B040
RG1000 GB0000 BR0145   h0242  R218 G000 B037
RG1000 GB0000 BR0133   h0243  R221 G000 B034
RG1000 GB0000 BR0125   h0244  R223 G000 B032
RG1000 GB0000 BR0113   h0245  R226 G000 B029
RG1000 GB0000 BR0101   h0246  R229 G000 B026
RG1000 GB0000 BR0094   h0247  R231 G000 B024
RG1000 GB0000 BR0082   h0248  R234 G000 B021
RG1000 GB0000 BR0070   h0249  R237 G000 B018
RG1000 GB0000 BR0062   h0250  R239 G000 B016
RG1000 GB0000 BR0050   h0251  R242 G000 B013
RG1000 GB0000 BR0039   h0252  R245 G000 B010
RG1000 GB0000 BR0031   h0253  R247 G000 B008
RG1000 GB0000 BR0019   h0254  R250 G000 B005
RG1000 GB0000 BR0007   h0255  R253 G000 B002
