RG1000 GB6*** BR0000   h0000  R1023 G0000 B0000
RG0998 GB1000 BR0000   h0001  R1021 G0002 B0000
RG0995 GB1000 BR0000   h0002  R1018 G0005 B0000
RG0992 GB1000 BR0000   h0003  R1015 G0008 B0000
RG0990 GB1000 BR0000   h0004  R1013 G0010 B0000
RG0987 GB1000 BR0000   h0005  R1010 G0013 B0000
RG0984 GB1000 BR0000   h0006  R1007 G0016 B0000
RG0982 GB1000 BR0000   h0007  R1005 G0018 B0000
RG0979 GB1000 BR0000   h0008  R1002 G0021 B0000
RG0976 GB1000 BR0000   h0009  R0999 G0024 B0000
RG0974 GB1000 BR0000   h0010  R0997 G0026 B0000
RG0971 GB1000 BR0000   h0011  R0994 G0029 B0000
RG0968 GB1000 BR0000   h0012  R0991 G0032 B0000
RG0966 GB1000 BR0000   h0013  R0989 G0034 B0000
RG0963 GB1000 BR0000   h0014  R0986 G0037 B0000
RG0960 GB1000 BR0000   h0015  R0983 G0040 B0000
RG0958 GB1000 BR0000   h0016  R0981 G0042 B0000
RG0956 GB1000 BR0000   h0017  R0978 G0045 B0000
RG0953 GB1000 BR0000   h0018  R0975 G0048 B0000
RG0951 GB1000 BR0000   h0019  R0973 G0050 B0000
RG0948 GB1000 BR0000   h0020  R0970 G0053 B0000
RG0945 GB1000 BR0000   h0021  R0967 G0056 B0000
RG0943 GB1000 BR0000   h0022  R0965 G0058 B0000
RG0940 GB1000 BR0000   h0023  R0962 G0061 B0000
RG0937 GB1000 BR0000   h0024  R0959 G0064 B0000
RG0935 GB1000 BR0000   h0025  R0957 G0066 B0000
RG0932 GB1000 BR0000   h0026  R0954 G0069 B0000
RG0929 GB1000 BR0000   h0027  R0951 G0072 B0000
RG0927 GB1000 BR0000   h0028  R0949 G0074 B0000
RG0924 GB1000 BR0000   h0029  R0946 G0077 B0000
RG0921 GB1000 BR0000   h0030  R0943 G0080 B0000
RG0919 GB1000 BR0000   h0031  R0941 G0082 B0000
RG0916 GB1000 BR0000   h0032  R0938 G0085 B0000
RG0913 GB1000 BR0000   h0033  R0935 G0088 B0000
RG0912 GB1000 BR0000   h0034  R0933 G0090 B0000
RG0909 GB1000 BR0000   h0035  R0930 G0093 B0000
RG0906 GB1000 BR0000   h0036  R0927 G0096 B0000
RG0904 GB1000 BR0000   h0037  R0925 G0098 B0000
RG0901 GB1000 BR0000   h0038  R0922 G0101 B0000
RG0898 GB1000 BR0000   h0039  R0919 G0104 B0000
RG0896 GB1000 BR0000   h0040  R0917 G0106 B0000
RG0893 GB1000 BR0000   h0041  R0914 G0109 B0000
